member_id;book_copy_id;staff_id;issue_date;due_date;returned_or_not
225;57061;1;2019-05-06;2019-05-21;TRUE
526;112446;5;2020-08-10;2020-08-25;TRUE
872;14158;4;2021-07-12;2021-07-27;TRUE
223;40408;5;2020-11-04;2020-11-19;TRUE
160;73360;7;2023-06-03;2023-06-18;TRUE
979;9794;1;2019-01-29;2019-02-13;TRUE
62;11493;1;2022-09-20;2022-10-05;TRUE
696;59387;3;2022-06-26;2022-07-11;TRUE
104;86741;1;2018-01-30;2018-02-14;TRUE
187;103147;7;2019-10-03;2019-10-18;TRUE
181;78852;4;2022-11-29;2022-12-14;TRUE
989;65117;4;2023-10-02;2023-10-17;TRUE
248;35322;2;2020-12-13;2020-12-28;TRUE
576;76581;7;2018-10-05;2018-10-20;TRUE
735;95887;3;2021-12-23;2022-01-07;TRUE
180;100576;2;2017-12-31;2018-01-15;TRUE
131;81870;1;2020-07-12;2020-07-27;TRUE
46;11284;5;2020-11-11;2020-11-26;TRUE
918;8571;2;2018-04-02;2018-04-17;TRUE
543;68480;6;2022-08-30;2022-09-14;TRUE
220;31353;4;2023-11-15;2023-11-30;FALSE
782;44712;7;2018-05-23;2018-06-07;TRUE
675;59184;3;2017-11-10;2017-11-25;TRUE
428;81812;1;2019-12-30;2020-01-14;TRUE
698;52353;1;2021-01-11;2021-01-26;TRUE
252;33414;7;2022-11-02;2022-11-17;TRUE
653;46901;1;2021-02-20;2021-03-07;TRUE
121;3672;2;2021-04-25;2021-05-10;TRUE
724;42548;7;2023-03-19;2023-04-03;TRUE
776;51133;2;2022-04-28;2022-05-13;TRUE
505;23849;6;2023-05-31;2023-06-15;TRUE
422;39174;4;2023-05-06;2023-05-21;TRUE
486;93942;4;2023-08-04;2023-08-19;TRUE
985;103721;2;2022-12-04;2022-12-19;TRUE
600;45925;5;2023-11-25;2023-12-10;TRUE
342;42855;2;2021-08-23;2021-09-07;TRUE
346;74158;6;2021-01-17;2021-02-01;TRUE
850;49316;4;2023-06-02;2023-06-17;TRUE
369;95827;7;2021-10-17;2021-11-01;TRUE
956;29455;5;2021-04-02;2021-04-17;TRUE
263;55406;5;2019-07-14;2019-07-29;TRUE
516;108931;5;2021-06-06;2021-06-21;TRUE
724;9989;6;2019-11-19;2019-12-04;TRUE
206;35220;3;2023-05-08;2023-05-23;TRUE
135;13914;6;2021-09-04;2021-09-19;TRUE
461;91339;7;2017-10-30;2017-11-14;TRUE
568;25010;3;2018-10-30;2018-11-14;TRUE
33;19512;7;2021-10-19;2021-11-03;TRUE
618;98803;3;2023-04-23;2023-05-08;TRUE
841;27924;6;2022-09-16;2022-10-01;TRUE
763;118703;5;2023-01-19;2023-02-03;TRUE
777;67530;4;2023-01-05;2023-01-20;TRUE
947;97531;7;2023-07-27;2023-08-11;TRUE
355;119417;5;2018-03-09;2018-03-24;TRUE
183;89210;7;2022-01-09;2022-01-24;TRUE
973;103455;5;2019-04-20;2019-05-05;TRUE
371;19128;7;2021-08-25;2021-09-09;TRUE
24;61862;5;2023-02-22;2023-03-09;TRUE
437;112527;4;2019-08-28;2019-09-12;TRUE
829;110879;6;2019-03-08;2019-03-23;TRUE
391;51304;5;2019-08-05;2019-08-20;TRUE
489;105349;2;2019-06-18;2019-07-03;TRUE
664;54115;7;2020-09-08;2020-09-23;TRUE
682;2336;1;2023-06-11;2023-06-26;TRUE
69;63702;7;2019-08-05;2019-08-20;TRUE
36;43031;7;2018-03-07;2018-03-22;TRUE
301;78955;1;2020-02-06;2020-02-21;TRUE
109;51639;2;2023-08-23;2023-09-07;TRUE
865;15322;7;2020-07-04;2020-07-19;TRUE
945;72685;6;2021-04-02;2021-04-17;TRUE
262;46514;2;2020-04-29;2020-05-14;TRUE
119;76385;1;2018-05-26;2018-06-10;TRUE
766;31104;4;2021-10-30;2021-11-14;TRUE
510;93359;7;2019-05-03;2019-05-18;TRUE
490;26662;7;2020-10-29;2020-11-13;TRUE
994;30424;4;2018-02-15;2018-03-02;TRUE
931;57800;3;2019-03-13;2019-03-28;TRUE
514;41361;6;2019-12-01;2019-12-16;TRUE
88;88645;7;2023-12-10;2023-12-25;FALSE
778;55372;1;2020-03-10;2020-03-25;TRUE
958;6480;4;2022-02-17;2022-03-04;TRUE
191;22794;3;2019-01-13;2019-01-28;TRUE
633;63515;7;2023-10-12;2023-10-27;TRUE
667;119535;1;2022-03-26;2022-04-10;TRUE
4;47202;1;2017-10-31;2017-11-15;TRUE
951;108074;2;2023-06-20;2023-07-05;TRUE
494;1661;7;2020-08-22;2020-09-06;TRUE
377;37964;4;2019-07-25;2019-08-09;TRUE
475;19616;5;2021-03-22;2021-04-06;TRUE
321;101951;7;2022-09-14;2022-09-29;TRUE
688;65720;4;2018-06-27;2018-07-12;TRUE
293;119545;5;2022-09-06;2022-09-21;TRUE
769;105523;2;2017-09-26;2017-10-11;TRUE
169;89077;4;2017-10-29;2017-11-13;TRUE
412;27552;4;2018-06-30;2018-07-15;TRUE
973;19683;1;2022-08-18;2022-09-02;TRUE
213;11489;2;2018-05-11;2018-05-26;TRUE
569;4684;3;2020-07-09;2020-07-24;TRUE
956;46436;3;2019-08-19;2019-09-03;TRUE
730;601;3;2023-05-02;2023-05-17;TRUE
892;64922;4;2022-05-30;2022-06-14;TRUE
695;18406;3;2021-09-15;2021-09-30;TRUE
59;76299;4;2022-05-29;2022-06-13;TRUE
896;53105;7;2022-03-17;2022-04-01;TRUE
319;33365;7;2021-05-05;2021-05-20;TRUE
499;36796;1;2021-08-30;2021-09-14;TRUE
560;75607;6;2020-02-15;2020-03-01;TRUE
129;100131;6;2023-10-13;2023-10-28;FALSE
644;78032;1;2017-11-30;2017-12-15;TRUE
231;68222;5;2018-04-11;2018-04-26;TRUE
416;70676;2;2023-06-21;2023-07-06;TRUE
809;41150;1;2019-02-22;2019-03-09;TRUE
360;48648;2;2023-09-19;2023-10-04;FALSE
979;96869;3;2022-04-18;2022-05-03;TRUE
113;75114;1;2021-01-21;2021-02-05;TRUE
917;26341;7;2018-05-18;2018-06-02;TRUE
98;66994;1;2017-12-14;2017-12-29;TRUE
362;63149;7;2023-03-11;2023-03-26;TRUE
278;834;7;2019-05-20;2019-06-04;TRUE
846;51337;5;2020-04-04;2020-04-19;TRUE
738;58252;6;2023-02-24;2023-03-11;TRUE
264;28059;3;2022-03-27;2022-04-11;TRUE
900;37225;4;2022-07-04;2022-07-19;TRUE
879;11569;6;2023-04-08;2023-04-23;TRUE
464;106967;6;2020-12-30;2021-01-14;TRUE
150;75459;4;2019-01-13;2019-01-28;TRUE
765;104945;6;2018-10-14;2018-10-29;TRUE
328;20849;7;2020-05-08;2020-05-23;TRUE
930;13260;2;2023-12-07;2023-12-22;TRUE
384;51609;6;2019-05-09;2019-05-24;TRUE
736;93998;3;2020-07-30;2020-08-14;TRUE
747;113621;4;2018-05-07;2018-05-22;TRUE
846;63225;1;2021-08-30;2021-09-14;TRUE
300;39330;7;2018-08-20;2018-09-04;TRUE
488;38994;6;2021-01-22;2021-02-06;TRUE
331;74667;6;2022-04-21;2022-05-06;TRUE
194;44080;7;2023-02-21;2023-03-08;TRUE
682;154;6;2020-11-27;2020-12-12;TRUE
676;80573;7;2020-11-21;2020-12-06;TRUE
299;23131;2;2023-12-10;2023-12-25;FALSE
425;43474;7;2022-07-17;2022-08-01;TRUE
842;115803;3;2020-03-14;2020-03-29;TRUE
369;13466;2;2022-08-11;2022-08-26;TRUE
767;98993;1;2022-12-31;2023-01-15;TRUE
417;92279;3;2020-01-12;2020-01-27;TRUE
408;9217;4;2018-08-18;2018-09-02;TRUE
600;32719;2;2022-08-20;2022-09-04;TRUE
596;29208;1;2018-01-09;2018-01-24;TRUE
288;48905;5;2022-05-10;2022-05-25;TRUE
472;4849;5;2022-09-01;2022-09-16;TRUE
124;25776;3;2018-10-20;2018-11-04;TRUE
34;50193;1;2019-01-06;2019-01-21;TRUE
891;55772;5;2020-06-26;2020-07-11;TRUE
439;109009;5;2018-10-12;2018-10-27;TRUE
72;104484;6;2022-05-06;2022-05-21;TRUE
989;56176;3;2021-11-13;2021-11-28;TRUE
278;116442;5;2021-09-12;2021-09-27;TRUE
563;22671;2;2018-04-19;2018-05-04;TRUE
843;58677;4;2019-06-02;2019-06-17;TRUE
814;12882;5;2019-02-21;2019-03-08;TRUE
578;115071;4;2019-11-05;2019-11-20;TRUE
811;90004;6;2021-05-06;2021-05-21;TRUE
167;68593;1;2021-03-14;2021-03-29;TRUE
686;38540;6;2019-12-02;2019-12-17;TRUE
336;19070;2;2022-07-19;2022-08-03;TRUE
459;117765;1;2018-05-19;2018-06-03;TRUE
788;71650;5;2019-10-12;2019-10-27;TRUE
320;3027;7;2017-10-22;2017-11-06;TRUE
422;66374;3;2017-11-13;2017-11-28;TRUE
237;96246;5;2020-12-12;2020-12-27;TRUE
127;9025;3;2020-12-12;2020-12-27;TRUE
517;17172;3;2022-12-09;2022-12-24;TRUE
247;67513;5;2022-10-31;2022-11-15;TRUE
519;85098;7;2020-07-09;2020-07-24;TRUE
675;55445;4;2019-09-24;2019-10-09;TRUE
373;13054;5;2020-11-20;2020-12-05;TRUE
231;114610;5;2020-07-17;2020-08-01;TRUE
147;100787;5;2022-01-06;2022-01-21;TRUE
255;59898;3;2019-12-15;2019-12-30;TRUE
990;94978;2;2021-11-14;2021-11-29;TRUE
144;76040;6;2018-01-17;2018-02-01;TRUE
204;56168;2;2018-04-04;2018-04-19;TRUE
754;2014;7;2018-06-13;2018-06-28;TRUE
103;83658;6;2023-08-12;2023-08-27;TRUE
610;73388;7;2023-02-22;2023-03-09;TRUE
329;113516;6;2019-05-27;2019-06-11;TRUE
839;31378;2;2019-07-24;2019-08-08;TRUE
659;84977;2;2020-08-15;2020-08-30;TRUE
83;40953;6;2019-07-12;2019-07-27;TRUE
945;30098;4;2018-12-30;2019-01-14;TRUE
179;58855;5;2021-03-13;2021-03-28;TRUE
835;46396;7;2020-11-23;2020-12-08;TRUE
174;94257;5;2021-02-13;2021-02-28;TRUE
238;56912;5;2021-10-12;2021-10-27;TRUE
521;96280;4;2020-01-02;2020-01-17;TRUE
290;87228;3;2019-11-02;2019-11-17;TRUE
553;83311;6;2019-01-03;2019-01-18;TRUE
764;43844;7;2017-10-22;2017-11-06;TRUE
489;118145;4;2021-01-18;2021-02-02;TRUE
452;19084;2;2019-12-08;2019-12-23;TRUE
664;36934;6;2019-06-15;2019-06-30;TRUE
363;18660;6;2021-10-01;2021-10-16;TRUE
603;118764;2;2019-05-23;2019-06-07;TRUE
6;98508;1;2018-05-02;2018-05-17;TRUE
541;10714;5;2023-06-14;2023-06-29;TRUE
440;47579;1;2022-08-01;2022-08-16;TRUE
925;5012;5;2022-08-09;2022-08-24;TRUE
569;21949;1;2020-12-28;2021-01-12;TRUE
697;14322;5;2023-11-05;2023-11-20;FALSE
678;14573;5;2020-07-07;2020-07-22;TRUE
797;57934;4;2018-07-28;2018-08-12;TRUE
428;115178;7;2022-09-22;2022-10-07;TRUE
646;58175;2;2018-06-26;2018-07-11;TRUE
163;88477;7;2023-09-05;2023-09-20;TRUE
581;79745;2;2023-04-02;2023-04-17;TRUE
195;61469;4;2019-11-22;2019-12-07;TRUE
273;43724;7;2023-06-24;2023-07-09;TRUE
302;4742;6;2018-09-20;2018-10-05;TRUE
33;39315;2;2019-06-26;2019-07-11;TRUE
695;79445;7;2019-12-12;2019-12-27;TRUE
229;89362;5;2021-12-17;2022-01-01;TRUE
638;52639;1;2021-10-20;2021-11-04;TRUE
622;8113;1;2018-10-09;2018-10-24;TRUE
743;39760;4;2022-01-30;2022-02-14;TRUE
52;16019;1;2023-12-15;2023-12-30;FALSE
887;118121;7;2019-07-28;2019-08-12;TRUE
10;10395;7;2018-03-15;2018-03-30;TRUE
193;100409;2;2019-04-18;2019-05-03;TRUE
341;45149;3;2019-11-16;2019-12-01;TRUE
897;97372;2;2018-02-01;2018-02-16;TRUE
282;26125;1;2023-02-14;2023-03-01;TRUE
524;83969;5;2021-11-23;2021-12-08;TRUE
739;38078;5;2023-07-04;2023-07-19;TRUE
509;29374;3;2022-05-05;2022-05-20;TRUE
639;95507;4;2019-10-05;2019-10-20;TRUE
276;100293;1;2023-04-06;2023-04-21;TRUE
926;27751;3;2020-06-25;2020-07-10;TRUE
379;107616;1;2019-04-19;2019-05-04;TRUE
810;20264;4;2020-04-14;2020-04-29;TRUE
329;100006;3;2018-04-19;2018-05-04;TRUE
186;88739;3;2018-07-05;2018-07-20;TRUE
329;104607;1;2021-08-13;2021-08-28;TRUE
917;49419;3;2019-06-03;2019-06-18;TRUE
419;48272;1;2023-05-13;2023-05-28;TRUE
305;5702;7;2018-03-07;2018-03-22;TRUE
52;107777;1;2019-04-01;2019-04-16;TRUE
113;109649;1;2023-02-08;2023-02-23;TRUE
702;105250;2;2019-10-21;2019-11-05;TRUE
595;105650;2;2020-10-14;2020-10-29;TRUE
563;92790;4;2023-06-05;2023-06-20;TRUE
289;113290;6;2020-03-09;2020-03-24;TRUE
489;96664;7;2018-12-02;2018-12-17;TRUE
788;116245;5;2022-01-14;2022-01-29;TRUE
139;98554;3;2023-04-04;2023-04-19;TRUE
577;14848;3;2017-11-18;2017-12-03;TRUE
832;59435;4;2022-12-23;2023-01-07;TRUE
840;102356;3;2019-07-12;2019-07-27;TRUE
309;58897;6;2023-07-21;2023-08-05;TRUE
30;42469;5;2017-11-13;2017-11-28;TRUE
184;118231;1;2020-05-11;2020-05-26;TRUE
496;50352;7;2021-09-07;2021-09-22;TRUE
676;93485;3;2023-09-05;2023-09-20;TRUE
727;54680;3;2021-10-20;2021-11-04;TRUE
949;15138;2;2020-09-06;2020-09-21;TRUE
152;114954;3;2022-01-10;2022-01-25;TRUE
959;104744;4;2018-03-27;2018-04-11;TRUE
612;76014;2;2022-12-17;2023-01-01;TRUE
488;83075;2;2022-10-27;2022-11-11;TRUE
884;32184;7;2019-05-06;2019-05-21;TRUE
382;9947;5;2022-02-05;2022-02-20;TRUE
712;24334;6;2022-12-09;2022-12-24;TRUE
506;63427;7;2021-04-16;2021-05-01;TRUE
987;44347;1;2020-01-15;2020-01-30;TRUE
543;18557;2;2018-01-05;2018-01-20;TRUE
563;103680;3;2022-05-30;2022-06-14;TRUE
463;16749;2;2019-07-18;2019-08-02;TRUE
525;111340;7;2021-01-23;2021-02-07;TRUE
781;85163;4;2022-08-02;2022-08-17;TRUE
780;60459;3;2023-07-19;2023-08-03;TRUE
987;4125;7;2018-07-24;2018-08-08;TRUE
22;95885;1;2021-10-16;2021-10-31;TRUE
334;74420;4;2018-07-20;2018-08-04;TRUE
283;40337;3;2022-06-23;2022-07-08;TRUE
454;95184;4;2019-10-25;2019-11-09;TRUE
394;32927;4;2019-12-19;2020-01-03;TRUE
407;21491;6;2019-02-03;2019-02-18;TRUE
846;1097;7;2023-04-20;2023-05-05;TRUE
406;118822;2;2020-04-22;2020-05-07;TRUE
403;5142;2;2021-09-27;2021-10-12;TRUE
535;2161;2;2019-08-11;2019-08-26;TRUE
197;18854;6;2017-10-09;2017-10-24;TRUE
196;20411;1;2020-03-25;2020-04-09;TRUE
503;8964;3;2020-05-13;2020-05-28;TRUE
165;119770;6;2018-05-10;2018-05-25;TRUE
553;53622;7;2018-11-18;2018-12-03;TRUE
968;98332;1;2019-03-16;2019-03-31;TRUE
340;29963;7;2021-06-07;2021-06-22;TRUE
842;8268;6;2023-11-21;2023-12-06;TRUE
887;77118;4;2022-04-27;2022-05-12;TRUE
582;20380;7;2022-10-18;2022-11-02;TRUE
623;59167;3;2020-12-16;2020-12-31;TRUE
646;50314;1;2023-08-14;2023-08-29;TRUE
845;60510;3;2018-07-29;2018-08-13;TRUE
87;110580;1;2022-12-27;2023-01-11;TRUE
608;118439;4;2018-09-16;2018-10-01;TRUE
344;4232;2;2018-02-21;2018-03-08;TRUE
527;58222;7;2021-07-13;2021-07-28;TRUE
118;86288;5;2023-03-11;2023-03-26;TRUE
126;43604;6;2023-01-16;2023-01-31;TRUE
636;55797;3;2023-04-02;2023-04-17;TRUE
232;102354;2;2023-01-04;2023-01-19;TRUE
229;78009;4;2019-09-17;2019-10-02;TRUE
955;13518;2;2018-10-19;2018-11-03;TRUE
320;54245;4;2022-04-24;2022-05-09;TRUE
466;93099;7;2020-04-23;2020-05-08;TRUE
652;48629;2;2022-11-13;2022-11-28;TRUE
119;17745;5;2020-07-05;2020-07-20;TRUE
966;63286;7;2023-09-13;2023-09-28;TRUE
176;40876;6;2021-07-17;2021-08-01;TRUE
14;103057;4;2023-02-28;2023-03-15;TRUE
33;76108;7;2021-12-09;2021-12-24;TRUE
234;47538;5;2021-09-02;2021-09-17;TRUE
108;106970;3;2021-06-15;2021-06-30;TRUE
292;47773;4;2023-02-02;2023-02-17;TRUE
104;83698;6;2020-01-11;2020-01-26;TRUE
822;15618;7;2022-10-23;2022-11-07;TRUE
60;20781;3;2020-02-02;2020-02-17;TRUE
20;57330;3;2020-10-31;2020-11-15;TRUE
137;46432;5;2020-08-20;2020-09-04;TRUE
59;4358;3;2018-04-06;2018-04-21;TRUE
375;79740;5;2021-07-11;2021-07-26;TRUE
865;68874;5;2021-04-18;2021-05-03;TRUE
844;9681;6;2021-01-14;2021-01-29;TRUE
698;119487;3;2022-07-12;2022-07-27;TRUE
326;119607;7;2022-10-23;2022-11-07;TRUE
922;30084;4;2017-09-29;2017-10-14;TRUE
208;50902;3;2018-12-05;2018-12-20;TRUE
926;74860;7;2018-08-17;2018-09-01;TRUE
558;96355;2;2021-06-26;2021-07-11;TRUE
96;73698;3;2020-03-06;2020-03-21;TRUE
852;50377;1;2020-06-20;2020-07-05;TRUE
178;108589;4;2021-08-13;2021-08-28;TRUE
479;79410;3;2019-03-06;2019-03-21;TRUE
200;5046;3;2021-05-15;2021-05-30;TRUE
282;40331;5;2019-06-28;2019-07-13;TRUE
301;74186;7;2023-06-13;2023-06-28;TRUE
132;40313;6;2018-04-14;2018-04-29;TRUE
128;113674;1;2021-02-24;2021-03-11;TRUE
589;10938;4;2021-02-04;2021-02-19;TRUE
336;69094;7;2023-06-10;2023-06-25;TRUE
825;104565;3;2020-09-27;2020-10-12;TRUE
22;30438;4;2020-05-22;2020-06-06;TRUE
153;98642;3;2019-11-24;2019-12-09;TRUE
964;29081;2;2022-12-04;2022-12-19;TRUE
504;31367;3;2022-06-09;2022-06-24;TRUE
8;99294;5;2018-05-08;2018-05-23;TRUE
86;63174;2;2018-04-26;2018-05-11;TRUE
65;79838;1;2018-04-07;2018-04-22;TRUE
474;112664;3;2018-06-10;2018-06-25;TRUE
279;31788;3;2018-11-30;2018-12-15;TRUE
153;36780;4;2018-05-11;2018-05-26;TRUE
153;30576;3;2022-02-06;2022-02-21;TRUE
503;37660;7;2018-04-18;2018-05-03;TRUE
952;7684;2;2023-07-21;2023-08-05;TRUE
244;116343;2;2022-01-18;2022-02-02;TRUE
850;68875;7;2020-02-03;2020-02-18;TRUE
9;87836;5;2022-12-26;2023-01-10;TRUE
961;107198;3;2023-07-16;2023-07-31;TRUE
511;17808;7;2022-06-02;2022-06-17;TRUE
798;10354;4;2018-01-20;2018-02-04;TRUE
57;23252;6;2022-06-05;2022-06-20;TRUE
694;53028;4;2023-04-09;2023-04-24;TRUE
787;40224;2;2018-01-30;2018-02-14;TRUE
58;70392;7;2021-12-12;2021-12-27;TRUE
